index, post, day, date
0, Some anxiety creeping in again, monday, 01-02-21
1, Quite upset again today, monday, 01-02-21
2, Feeling somewhat lonely, monday, 01-02-21
3, Great mood today, monday, 01-02-21
4, Exciting, monday, 01-02-21
5, Felling a bit lonely again this evening, monday, 01-02-21
6, A bit under the weather, tuesday, 02-02-21
7, Very stressed with College, tuesday, 02-02-21
8, I don't care anymore, wednesday, 03-02-21
9, Lonely, wednesday, 03-02-21
10, Another bad day, wednesday, 03-02-21
11, Can't do this again, wednesday, 03-02-21
12, Feeling Manic, thursday, 04-02-21
13, Fed up, thursday, 04-02-21
14, Very miserable, thursday, 04-02-21
15, Starting to feel a bit better, friday, 05-02-21
16, Weather is beautiful today, friday, 05-02-21
17, Any film recommendations, friday, 05-02-21
18, Great form today, saturday, 06-02-21
19, Today is a great day, saturday, 06-02-21
20, Could have been worse, sunday, 07-02-21
